"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","5","","14","0","","0"
"0","Automation Exercise E2E Testing","2","Shopping Cart","0","0","Cart Management","0"
"0","Automation Exercise E2E Testing","1","Newsletter & Subscription","0","0","Newsletter Subscription","0"
"2","Automation Exercise E2E Testing","2","User Management","3","0","User Registration","0"
"0","Automation Exercise E2E Testing","0","User Authentication","1","0","User Registration","0"
"0","Automation Exercise E2E Testing","0","Navigation & UI","1","0","Page Navigation","0"
"0","Automation Exercise E2E Testing","0","User Authentication","1","0","User Logout","0"
"1","Automation Exercise E2E Testing","0","Contact Us","0","0","Contact Form","0"
"0","Automation Exercise E2E Testing","1","Product Catalog","0","0","Product Search","0"
"0","Automation Exercise E2E Testing","0","Product Catalog","1","0","Product Browsing","0"
"0","Automation Exercise E2E Testing","0","User Authentication","2","0","User Login","0"
